bought_on,sold_on,profit
2019-07-25,2019-07-31,-0.015876675123846717
2019-08-01,2019-08-05,-0.09069407823841724
2019-08-19,2019-08-20,0.039239596837715274
2019-08-21,2019-08-30,-0.009792987632086136
2019-09-03,2019-09-05,0.05037059906368646
2019-09-09,2019-09-11,0.021512009490135986
2019-09-12,2019-09-17,-0.030719663342922088
2019-09-20,2019-09-24,-0.004522260150200186
2019-09-25,2019-09-26,0.030896771206166296
2019-09-30,2019-10-01,0.012731463596000303
2019-10-02,2019-10-03,0.0005776692833656671
2019-10-08,2019-10-11,0.031942007816412765
2019-10-14,2019-10-16,0.05042017152082301
2019-10-17,2019-10-24,0.003826530612244916
2019-10-25,2019-10-28,0.030984491549864268
2019-10-29,2019-11-04,-0.0018425526445990936
2019-11-06,2019-11-15,0.005080509785729603
2019-11-18,2019-11-19,0.03501887984218088
2019-11-20,2019-11-21,0.018979053154848602
2019-11-25,2019-11-26,0.020644356843504186
2019-11-27,2019-12-04,-0.03498419518243179
2019-12-11,2019-12-12,0.008302233348739252
2019-12-17,2020-01-02,0.0568836053594759
2020-01-10,2020-01-28,-0.018113434255336514
2020-02-03,2020-02-04,0.04382690693595159
2020-02-06,2020-02-11,0.06020467982595523
2020-02-12,2020-02-20,0.15836442243442583
2020-02-21,2020-02-25,-0.09168616464904933
2020-02-26,2020-02-27,-0.027322001559999642
2020-03-04,2020-03-05,0.023316015945038515
2020-03-26,2020-04-03,7.877558584157285e-05
2020-04-06,2020-04-07,0.08642838828177157
2020-04-08,2020-04-15,0.05235187864243418
2020-04-20,2020-04-23,0.002088866884538021
2020-04-24,2020-04-27,0.04016214346166813
2020-04-28,2020-05-05,-0.02485148111979163
2020-05-07,2020-05-12,0.07106598065657566
2020-05-13,2020-05-18,0.10647300259230774
2020-05-19,2020-05-29,-0.026819467787163487
2020-06-04,2020-06-05,0.00761916733304413
2020-06-09,2020-06-10,0.04178974845192629
2020-06-12,2020-06-16,0.006821282401091366
2020-06-17,2020-06-18,0.012426276041653361
2020-06-19,2020-06-23,0.033378403923287836
2020-06-24,2020-07-01,0.004695947333123396
2020-07-02,2020-07-17,0.06084653906948123
2020-07-20,2020-07-21,0.023237676143276653
2020-07-22,2020-07-27,-0.013045583561276608
2020-07-29,2020-07-30,-0.0015157829690137792
2020-08-06,2020-08-13,0.017291143576674273
2020-08-14,2020-08-18,0.07979181877482122
2020-08-19,2020-08-24,0.047757473537078265
2020-08-25,2020-08-31,0.04370284047291695
2020-09-03,2020-09-09,-0.1033174037632919
2020-09-11,2020-09-18,0.008670030146663565
2020-09-21,2020-09-22,0.05450733752620551
2020-09-24,2020-09-25,0.031083639737248925
2020-10-02,2020-10-06,0.04574671494712912
2020-10-07,2020-10-16,0.002642869505811385
2020-10-19,2020-10-26,-0.03423717577953944
2020-10-27,2020-10-28,-0.00811665302022202
2020-10-29,2020-10-30,0.0008957860971667841
2020-11-02,2020-11-04,0.05779070116473228
2020-11-06,2020-11-17,-0.03949403512460192
2020-11-18,2020-11-20,-0.0008355066175342873
2020-11-23,2020-11-27,0.015469345718386762
2020-11-30,2020-12-01,0.017131600591256513
2020-12-02,2020-12-03,0.01775210689118234
2020-12-04,2020-12-11,-0.035784659836850086
2020-12-16,2020-12-22,-0.0076923164369748775
2020-12-24,2020-12-30,-0.0036050641776796954
2021-01-04,2021-01-06,0.009023869466247225
2021-01-07,2021-01-08,0.030460743052117767
2021-01-11,2021-01-12,0.024871868814042797
2021-01-13,2021-01-21,-0.005300195479914338
2021-01-26,2021-01-29,-0.03722243620195509
